,precision,recall,f1-score,support
NORMAL,0.9427745664739884,0.39272814832651093,0.554479007309196,4153.0
PNEUMONIA,0.39549376797698943,0.9433962264150944,0.557338287451444,1749.0
accuracy,0.5559132497458489,0.5559132497458489,0.5559132497458489,0.5559132497458489
macro avg,0.6691341672254889,0.6680621873708026,0.55590864738032,5902.0
weighted avg,0.7805932522463959,0.5559132497458489,0.5553263270260363,5902.0
