,precision,recall,f1-score,support
NORMAL,0.8941925218774861,0.8119431736094389,0.851085310449268,4153.0
PNEUMONIA,0.6335053965274519,0.7718696397941681,0.6958762886597938,1749.0
accuracy,0.8000677736360555,0.8000677736360555,0.8000677736360555,0.8000677736360555
macro avg,0.763848959202469,0.7919064067018036,0.773480799554531,5902.0
weighted avg,0.8169404408477995,0.8000677736360555,0.8050906342192121,5902.0
