,precision,recall,f1-score,support
NORMAL,0.9134328358208955,0.9503105590062112,0.9315068493150684,322.0
PNEUMONIA,0.980884109916368,0.9658823529411765,0.973325429756965,850.0
accuracy,0.96160409556314,0.96160409556314,0.96160409556314,0.96160409556314
macro avg,0.9471584728686318,0.9580964559736939,0.9524161395360167,1172.0
weighted avg,0.9623522752246084,0.96160409556314,0.9618360245502322,1172.0
