,precision,recall,f1-score,support
NORMAL,0.3807588075880759,0.8726708074534162,0.530188679245283,322.0
PNEUMONIA,0.9055299539170507,0.4623529411764706,0.6121495327102804,850.0
accuracy,0.5750853242320819,0.5750853242320819,0.5750853242320819,0.5750853242320819
macro avg,0.6431443807525633,0.6675118743149434,0.5711691059777817,1172.0
weighted avg,0.7613522157618204,0.5750853242320819,0.5896312777480541,1172.0
